benchmark	backbone	arm	rows	source_run	snapshot
gaia	deepseek-v4	amem	300	dscb/deepseek-v4-pro/gaia	gaia_deepseek.jsonl
gaia	deepseek-v4	curatormem	300	dscb4_gaia/deepseek-v4-pro/gaia	gaia_deepseek_curated.jsonl
gaia	deepseek-v4	mem0	300	dscb/deepseek-v4-pro/gaia	gaia_deepseek.jsonl
gaia	deepseek-v4	patched	300	dscb/deepseek-v4-pro/gaia	gaia_deepseek.jsonl
gaia	deepseek-v4	raw	300	dscb/deepseek-v4-pro/gaia	gaia_deepseek.jsonl
gaia	gpt-5.5	amem	300	gpt55full/gpt-5.5/gaia	gaia_gpt55.jsonl
gaia	gpt-5.5	curatormem	300	gpt55full/gpt-5.5/gaia	gaia_gpt55.jsonl
gaia	gpt-5.5	mem0	300	gpt55full/gpt-5.5/gaia	gaia_gpt55.jsonl
gaia	gpt-5.5	patched	300	gpt55full/gpt-5.5/gaia	gaia_gpt55.jsonl
gaia	gpt-5.5	raw	300	gpt55full/gpt-5.5/gaia	gaia_gpt55.jsonl
gaia	hy3	amem	300	hy3fix/hy3/gaia	gaia_hy3.jsonl
gaia	hy3	curatormem	300	hy3guard3/hy3/gaia	gaia_hy3_curated.jsonl
gaia	hy3	mem0	300	hy3fix/hy3/gaia	gaia_hy3.jsonl
gaia	hy3	patched	300	hy3fix/hy3/gaia	gaia_hy3.jsonl
gaia	hy3	raw	315	hy3fix/hy3/gaia	gaia_hy3.jsonl
gaia2	deepseek-v4	amem	300	dscb/deepseek-v4-pro/gaia2	gaia2_deepseek.jsonl
gaia2	deepseek-v4	mem0	300	dscb/deepseek-v4-pro/gaia2	gaia2_deepseek.jsonl
gaia2	deepseek-v4	patched	300	dscb/deepseek-v4-pro/gaia2	gaia2_deepseek.jsonl
gaia2	deepseek-v4	raw	300	dscb/deepseek-v4-pro/gaia2	gaia2_deepseek.jsonl
gaia2	gpt-5.5	amem	300	gpt55full/gpt-5.5/gaia2	gaia2_gpt55.jsonl
gaia2	gpt-5.5	curatormem	300	gpt55g2act2/gpt-5.5/gaia2	gaia2_gpt55_curated.jsonl
gaia2	gpt-5.5	mem0	300	gpt55full/gpt-5.5/gaia2	gaia2_gpt55.jsonl
gaia2	gpt-5.5	patched	300	gpt55full/gpt-5.5/gaia2	gaia2_gpt55.jsonl
gaia2	gpt-5.5	raw	300	gpt55full/gpt-5.5/gaia2	gaia2_gpt55.jsonl
gaia2	hy3	amem	300	hy3fix/hy3/gaia2	gaia2_hy3.jsonl
gaia2	hy3	curatormem	300	hy3g2fix/hy3/gaia2	gaia2_hy3_curated.jsonl
gaia2	hy3	mem0	318	hy3fix/hy3/gaia2	gaia2_hy3.jsonl
gaia2	hy3	patched	300	hy3fix/hy3/gaia2	gaia2_hy3.jsonl
gaia2	hy3	raw	300	hy3fix/hy3/gaia2	gaia2_hy3.jsonl
locomo	deepseek-v4	amem	300	dscb/deepseek-v4-pro/locomo	locomo_deepseek.jsonl
locomo	deepseek-v4	curatormem	300	dscb/deepseek-v4-pro/locomo	locomo_deepseek.jsonl
locomo	deepseek-v4	mem0	300	dscb/deepseek-v4-pro/locomo	locomo_deepseek.jsonl
locomo	deepseek-v4	patched	300	dscb/deepseek-v4-pro/locomo	locomo_deepseek.jsonl
locomo	deepseek-v4	raw	300	dscb/deepseek-v4-pro/locomo	locomo_deepseek.jsonl
tau2	deepseek-v4	amem	240	dstau2/deepseek-v4-pro/tau2	tau2_deepseek.jsonl
tau2	deepseek-v4	mem0	240	dstau2/deepseek-v4-pro/tau2	tau2_deepseek.jsonl
tau2	deepseek-v4	patched	240	dstau2/deepseek-v4-pro/tau2	tau2_deepseek.jsonl
tau2	deepseek-v4	raw	240	dstau2/deepseek-v4-pro/tau2	tau2_deepseek.jsonl
tau2	gpt-5.5	amem	239	tau2fix_gpt55/gpt-5.5/tau2	tau2_gpt55.jsonl
tau2	gpt-5.5	curatormem	239	g55tau2C_sf/gpt-5.5/tau2	tau2_gpt55_csf.jsonl
tau2	gpt-5.5	mem0	240	tau2fix_gpt55/gpt-5.5/tau2	tau2_gpt55.jsonl
tau2	gpt-5.5	patched	240	tau2fix_gpt55/gpt-5.5/tau2	tau2_gpt55.jsonl
tau2	gpt-5.5	raw	240	tau2fix_gpt55/gpt-5.5/tau2	tau2_gpt55.jsonl
tau2	hy3	amem	240	tau2fast_hy3/hy3/tau2	tau2_hy3.jsonl
tau2	hy3	curatormem	240	tau2fast_hy3/hy3/tau2	tau2_hy3.jsonl
tau2	hy3	mem0	240	tau2fast_hy3/hy3/tau2	tau2_hy3.jsonl
tau2	hy3	patched	240	tau2fast_hy3/hy3/tau2	tau2_hy3.jsonl
tau2	hy3	raw	240	tau2fast_hy3/hy3/tau2	tau2_hy3.jsonl
locomo	hy3	all-five	497q	locomo_native/hy3 + hy3_amem	(per-question J/F1, not the arm-file schema)
locomo	gpt-5.5	all-five	497q	locomo_native/{staged,raw_arm,ours_sdk}	(per-question J/F1, not the arm-file schema)
